x-axis,1
second,Volt
-2.6100000E-03,
-2.6098000E-03,
-2.6096000E-03,
-2.6094000E-03,
-2.6092000E-03,
-2.6090000E-03,
-2.6088000E-03,
-2.6086000E-03,
-2.6084000E-03,
-2.6082000E-03,+760.2700926E-03
-2.6080000E-03,+760.2700926E-03
-2.6078000E-03,+760.2700926E-03
-2.6076000E-03,+760.2700926E-03
-2.6074000E-03,+760.2700926E-03
-2.6072000E-03,+772.8329066E-03
-2.6070000E-03,+767.8077810E-03
-2.6068000E-03,+760.2700926E-03
-2.6066000E-03,+747.7072787E-03
-2.6064000E-03,+752.7324043E-03
-2.6062000E-03,+760.2700926E-03
-2.6060000E-03,+747.7072787E-03
-2.6058000E-03,+740.1695903E-03
-2.6056000E-03,+765.2952182E-03
-2.6054000E-03,+767.8077810E-03
-2.6052000E-03,+772.8329066E-03
-2.6050000E-03,+767.8077810E-03
-2.6048000E-03,+760.2700926E-03
-2.6046000E-03,+772.8329066E-03
-2.6044000E-03,+767.8077810E-03
-2.6042000E-03,+772.8329066E-03
-2.6040000E-03,+780.3705949E-03
-2.6038000E-03,+755.2449671E-03
-2.6036000E-03,+765.2952182E-03
-2.6034000E-03,+767.8077810E-03
-2.6032000E-03,+772.8329066E-03
-2.6030000E-03,+780.3705949E-03
-2.6028000E-03,+780.3705949E-03
-2.6026000E-03,+767.8077810E-03
-2.6024000E-03,+760.2700926E-03
-2.6022000E-03,+760.2700926E-03
-2.6020000E-03,+760.2700926E-03
-2.6018000E-03,+760.2700926E-03
-2.6016000E-03,+760.2700926E-03
-2.6014000E-03,+785.3957205E-03
-2.6012000E-03,+775.3454694E-03
-2.6010000E-03,+760.2700926E-03
-2.6008000E-03,+760.2700926E-03
-2.6006000E-03,+760.2700926E-03
-2.6004000E-03,+772.8329066E-03
-2.6002000E-03,+767.8077810E-03
-2.6000000E-03,+747.7072787E-03
-2.5998000E-03,+740.1695903E-03
-2.5996000E-03,+740.1695903E-03
-2.5994000E-03,+752.7324043E-03
-2.5992000E-03,+772.8329066E-03
-2.5990000E-03,+755.2449671E-03
-2.5988000E-03,+765.2952182E-03
-2.5986000E-03,+767.8077810E-03
-2.5984000E-03,+772.8329066E-03
-2.5982000E-03,+767.8077810E-03
-2.5980000E-03,+772.8329066E-03
-2.5978000E-03,+755.2449671E-03
-2.5976000E-03,+765.2952182E-03
-2.5974000E-03,+767.8077810E-03
-2.5972000E-03,+760.2700926E-03
-2.5970000E-03,+772.8329066E-03
-2.5968000E-03,+767.8077810E-03
-2.5966000E-03,+747.7072787E-03
-2.5964000E-03,+752.7324043E-03
-2.5962000E-03,+760.2700926E-03
-2.5960000E-03,+772.8329066E-03
-2.5958000E-03,+755.2449671E-03
-2.5956000E-03,+740.1695903E-03
-2.5954000E-03,+765.2952182E-03
-2.5952000E-03,+767.8077810E-03
-2.5950000E-03,+772.8329066E-03
-2.5948000E-03,+767.8077810E-03
-2.5946000E-03,+760.2700926E-03
-2.5944000E-03,+760.2700926E-03
-2.5942000E-03,+772.8329066E-03
-2.5940000E-03,+767.8077810E-03
-2.5938000E-03,+747.7072787E-03
-2.5936000E-03,+765.2952182E-03
-2.5934000E-03,+780.3705949E-03
-2.5932000E-03,+767.8077810E-03
-2.5930000E-03,+747.7072787E-03
-2.5928000E-03,+765.2952182E-03
-2.5926000E-03,+767.8077810E-03
-2.5924000E-03,+747.7072787E-03
-2.5922000E-03,+752.7324043E-03
-2.5920000E-03,+772.8329066E-03
-2.5918000E-03,+767.8077810E-03
-2.5916000E-03,+760.2700926E-03
-2.5914000E-03,+772.8329066E-03
-2.5912000E-03,-186.9660782E-03
-2.5910000E-03,-779.9308959E-03
-2.5908000E-03,-774.9057703E-03
-2.5906000E-03,-767.3680820E-03
-2.5904000E-03,-779.9308959E-03
-2.5902000E-03,-774.9057703E-03
-2.5900000E-03,-767.3680820E-03
-2.5898000E-03,-767.3680820E-03
-2.5896000E-03,-779.9308959E-03
-2.5894000E-03,-800.0313982E-03
-2.5892000E-03,-782.4434587E-03
-2.5890000E-03,-767.3680820E-03
-2.5888000E-03,-754.8052680E-03
-2.5886000E-03,-759.8303936E-03
-2.5884000E-03,-767.3680820E-03
-2.5882000E-03,-779.9308959E-03
-2.5880000E-03,-774.9057703E-03
-2.5878000E-03,-767.3680820E-03
-2.5876000E-03,-779.9308959E-03
-2.5874000E-03,-787.4685843E-03
-2.5872000E-03,-774.9057703E-03
-2.5870000E-03,-779.9308959E-03
-2.5868000E-03,-774.9057703E-03
-2.5866000E-03,-779.9308959E-03
-2.5864000E-03,-787.4685843E-03
-2.5862000E-03,-762.3429564E-03
-2.5860000E-03,-759.8303936E-03
-2.5858000E-03,-792.4937098E-03
-2.5856000E-03,-795.0062726E-03
-2.5854000E-03,-787.4685843E-03
-2.5852000E-03,-800.0313982E-03
-2.5850000E-03,-782.4434587E-03
-2.5848000E-03,-779.9308959E-03
-2.5846000E-03,-787.4685843E-03
-2.5844000E-03,-774.9057703E-03
-2.5842000E-03,-779.9308959E-03
-2.5840000E-03,-787.4685843E-03
-2.5838000E-03,-787.4685843E-03
-2.5836000E-03,-787.4685843E-03
-2.5834000E-03,-774.9057703E-03
-2.5832000E-03,-779.9308959E-03
-2.5830000E-03,-787.4685843E-03
-2.5828000E-03,-774.9057703E-03
-2.5826000E-03,-779.9308959E-03
-2.5824000E-03,-774.9057703E-03
-2.5822000E-03,-779.9308959E-03
-2.5820000E-03,-774.9057703E-03
-2.5818000E-03,-792.4937098E-03
-2.5816000E-03,-795.0062726E-03
-2.5814000E-03,-774.9057703E-03
-2.5812000E-03,-779.9308959E-03
-2.5810000E-03,-787.4685843E-03
-2.5808000E-03,-787.4685843E-03
-2.5806000E-03,-774.9057703E-03
-2.5804000E-03,-754.8052680E-03
-2.5802000E-03,-759.8303936E-03
-2.5800000E-03,-767.3680820E-03
-2.5798000E-03,-779.9308959E-03
-2.5796000E-03,-774.9057703E-03
-2.5794000E-03,-779.9308959E-03
-2.5792000E-03,-787.4685843E-03
-2.5790000E-03,-800.0313982E-03
-2.5788000E-03,-769.8806447E-03
-2.5786000E-03,-772.3932075E-03
-2.5784000E-03,-787.4685843E-03
-2.5782000E-03,-787.4685843E-03
-2.5780000E-03,-787.4685843E-03
-2.5778000E-03,-774.9057703E-03
-2.5776000E-03,-767.3680820E-03
-2.5774000E-03,-779.9308959E-03
-2.5772000E-03,-774.9057703E-03
-2.5770000E-03,-779.9308959E-03
